Season,Player,GP,MP,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB/G,AST,AST/G,STL,BLK,CONF_PCT,OVERALL_PCT
2017-2018,"HOWELL, Mikey",32,577,107,3.34,41,96,0.43,12,41,0.29,13,21,0.62,4,51,1.72,83,2.59,27,2,0.682,0.656
2017-2018,"BUAKU, George",29,607,95,3.28,31,107,0.29,7,35,0.2,26,42,0.62,8,41,1.69,49,1.69,19,6,0.682,0.656
2017-2018,"RICO, Ben",17,132,46,2.71,15,48,0.31,7,31,0.23,9,10,0.9,4,19,1.35,8,0.47,5,0,0.682,0.656
2017-2018,"OOSDYKE, Brett",12,47,15,1.25,4,15,0.27,3,9,0.33,4,10,0.4,6,5,0.92,2,0.17,0,1,0.682,0.656
2017-2018,"KOEHLER, Kennedy",16,64,12,0.75,5,15,0.33,0,2,0,2,8,0.25,9,11,1.25,3,0.19,1,1,0.682,0.656
2017-2018,"TOMBE, Martin",10,33,0,0,0,4,0,0,1,0,0,0,0,3,8,1.1,0,0,0,0,0.682,0.656
2016-2017,"KLIE, Adam",30,946,452,15.07,165,334,0.49,21,48,0.44,101,162,0.62,35,157,6.4,135,4.5,25,5,0.85,0.818
2016-2017,"HANSEN, Chris",28,623,335,11.96,125,252,0.5,15,38,0.39,70,80,0.88,48,116,5.86,20,0.71,5,21,0.85,0.818
2016-2017,"OSHITA, Christian",30,794,340,11.33,119,250,0.48,49,115,0.43,53,69,0.77,41,120,5.37,33,1.1,9,4,0.85,0.818
2016-2017,"LIPOVIC, Aleks",22,468,189,8.59,60,135,0.44,54,121,0.45,15,17,0.88,2,32,1.55,36,1.64,10,2,0.85,0.818
2016-2017,"EVERMAN, Scott",30,563,227,7.57,75,169,0.44,50,122,0.41,27,29,0.93,29,52,2.7,14,0.47,8,8,0.85,0.818
2016-2017,"BUAKU, George",30,859,157,5.23,54,120,0.45,15,38,0.39,34,45,0.76,8,70,2.6,72,2.4,20,5,0.85,0.818
2016-2017,"PATTON, Eric",9,184,44,4.89,20,42,0.48,3,11,0.27,1,6,0.17,18,18,4,6,0.67,4,2,0.85,0.818
2016-2017,"BALLESTERO, Anthony",30,630,136,4.53,36,108,0.33,32,100,0.32,32,35,0.91,1,39,1.33,57,1.9,20,0,0.85,0.818
2016-2017,"COX, Koree",12,84,40,3.33,12,37,0.32,10,26,0.38,6,8,0.75,1,14,1.25,3,0.25,3,0,0.85,0.818
2016-2017,"SHOEMAKER, Michael",29,309,89,3.07,37,86,0.43,8,26,0.31,7,13,0.54,24,46,2.41,9,0.31,4,9,0.85,0.818
2016-2017,"BROOKS, Joshua",19,183,58,3.05,20,42,0.48,1,3,0.33,17,26,0.65,6,14,1.05,13,0.68,10,3,0.85,0.818
2016-2017,"RICO, Ben",16,99,30,1.88,8,29,0.28,7,23,0.3,7,13,0.54,2,10,0.75,6,0.38,3,1,0.85,0.818
2016-2017,"FRASER, Kenny",21,258,37,1.76,16,49,0.33,4,15,0.27,1,2,0.5,13,42,2.62,5,0.24,6,3,0.85,0.818
2015-2016,"DYER, Drew",32,1070,494,15.44,162,332,0.49,92,204,0.45,78,94,0.83,38,134,5.38,66,2.06,16,5,0.75,0.75
2015-2016,"KLIE, Adam",32,968,422,13.19,161,314,0.51,16,54,0.3,84,135,0.62,58,126,5.75,100,3.13,24,11,0.75,0.75
2015-2016,"HANSEN, Chris",32,612,330,10.31,132,222,0.59,1,8,0.13,65,85,0.76,54,90,4.5,6,0.19,13,16,0.75,0.75
2015-2016,"LIPOVIC, Aleks",27,741,251,9.3,78,211,0.37,63,176,0.36,32,37,0.86,6,88,3.48,46,1.7,11,2,0.75,0.75
2015-2016,"JACKSON, Grant",32,850,244,7.63,82,206,0.4,16,49,0.33,64,83,0.77,5,112,3.66,76,2.38,22,1,0.75,0.75
2015-2016,"WALKER, Hunter",2,43,14,7,4,9,0.44,1,2,0.5,5,7,0.71,2,1,1.5,5,2.5,2,1,0.75,0.75
2015-2016,"MCMILLAN, Zach",21,357,100,4.76,42,74,0.57,0,0,0,16,35,0.46,33,66,4.71,9,0.43,8,20,0.75,0.75
2015-2016,"BUAKU, George",29,608,125,4.31,40,105,0.38,14,47,0.3,31,49,0.63,7,61,2.34,40,1.38,21,6,0.75,0.75
2015-2016,"COX, Koree",31,392,125,4.03,42,105,0.4,13,25,0.52,28,41,0.68,7,60,2.16,20,0.65,11,0,0.75,0.75
2015-2016,"BALLESTERO, Anthony",24,275,92,3.83,27,79,0.34,27,79,0.34,11,13,0.85,9,10,0.79,15,0.63,7,0,0.75,0.75
2015-2016,"FRASER, Kenny",32,353,49,1.53,22,59,0.37,0,10,0,5,9,0.56,18,41,1.84,8,0.25,2,5,0.75,0.75
2015-2016,"PATTON, Eric",20,181,19,0.95,8,17,0.47,0,3,0,3,8,0.38,14,22,1.8,2,0.1,8,5,0.75,0.75
